"","School_Dis_Name","School_Dis_Code","STATE","County_Name","State_County_Code","ENROLL","YRDATA","TOTAL_REVENUE","FEDERAL_REVENUE","STATE_REVENUE","LOCAL_REVENUE","TOTAL_EXPENDITURE","INSTRUCTION_EXPENDITURE","SUPPORT_SERVICES_EXPENDITURE","OTHER_EXPENDITURE","CAPITAL_OUTLAY_EXPENDITURE","SNAP"
"14995","westford town sch dist",NA,"Vermont",NA,NA,329,2013,4894,39,4822,33,5192,1991,1064,1,67,NA
"14996","williston town sch dist",NA,"Vermont",NA,NA,1067,2013,18020,122,15610,2288,17862,10937,4059,318,551,NA
"14997","st george town school district",NA,"Vermont",NA,NA,117,2013,1816,16,1793,7,1873,10,11,0,0,NA
"14998","essex comm ed ctr uhsd 46",NA,"Vermont",NA,NA,1106,2013,33076,867,24513,7696,32837,19013,7499,1953,1079,NA
"14999","buels gore school district","00011","Vermont","Chittenden County","50_007",5,2013,23,0,23,0,56,0,1,0,0," 17,076 "
"15000","chittenden central supv union",NA,"Vermont",NA,NA,0,2013,4676,1039,82,3555,4155,1,3602,505,47,NA
"15001","chittenden east supv union",NA,"Vermont",NA,NA,0,2013,14157,1377,1301,11479,12788,7559,4743,363,51,NA
"15002","chittenden south supv union",NA,"Vermont",NA,NA,0,2013,10324,1959,333,8032,9090,1257,6543,1225,65,NA
"15003","winooski school district",NA,"Vermont",NA,NA,811,2013,15144,1757,12962,425,15845,8454,6162,239,773,NA
"15004","champlain valley union high school dist 15",NA,"Vermont",NA,NA,1247,2013,22868,155,20471,2242,21931,11621,5287,469,520,NA
"15005","mt mansfield union sch dist 17",NA,"Vermont",NA,NA,1661,2013,26298,130,24865,1303,26403,11376,4665,910,1167,NA
"15006","bloomfield town sch dist",NA,"Vermont",NA,NA,28,2013,380,7,373,0,436,3,24,0,0,NA
"15007","brunswick town sch dist",NA,"Vermont",NA,NA,16,2013,193,3,190,0,216,15,5,0,0,NA
"15008","brighton town sch dist",NA,"Vermont",NA,NA,87,2013,1873,0,1785,88,1911,1075,623,59,98,NA
"15009","canaan town sch dist",NA,"Vermont",NA,NA,155,2013,3360,96,2570,694,3528,1571,940,90,61,NA
"15010","concord town sch dist",NA,"Vermont",NA,NA,196,2013,3608,2,3313,293,3898,2236,1175,124,134,NA
"15011","east haven town sch dist",NA,"Vermont",NA,NA,33,2013,545,0,531,14,431,258,24,0,0,NA
"15012","granby town sch dist",NA,"Vermont",NA,NA,7,2013,205,1,204,0,118,35,12,0,0,NA
"15013","guildhall town sch dist",NA,"Vermont",NA,NA,28,2013,564,0,490,74,649,303,110,35,3,NA
"15014","lemington town sch dist",NA,"Vermont",NA,NA,12,2013,116,2,114,0,128,0,2,0,0,NA
"15015","lunenburg town sch dist",NA,"Vermont",NA,NA,179,2013,2811,0,2796,15,2825,1641,574,113,47,NA
"15016","maidstone town sch dist",NA,"Vermont",NA,NA,16,2013,303,0,303,0,264,97,25,0,0,NA
"15017","norton town sch dist",NA,"Vermont",NA,NA,8,2013,191,4,186,1,192,42,42,0,0,NA
"15018","victory town sch dist",NA,"Vermont",NA,NA,9,2013,96,0,96,0,177,65,21,0,0,NA
"15019","ferdinand school district","00012","Vermont","Essex County","50_009",1,2013,64,0,64,0,68,0,0,0,0," 1,393 "
"15020","essex-calendonia supv union",NA,"Vermont",NA,NA,0,2013,1413,766,65,582,1197,56,1093,0,48,NA
"15021","essex north supervisory union",NA,"Vermont",NA,NA,0,2013,1328,264,69,995,1372,742,612,0,18,NA
"15022","enosburg falls sch dist",NA,"Vermont",NA,NA,487,2013,11056,180,7679,3197,10747,6399,3193,440,168,NA
"15023","bakersfield town sch dist",NA,"Vermont",NA,NA,232,2013,3087,24,2985,78,4407,1322,779,89,1162,NA
"15024","berkshire town sch dist",NA,"Vermont",NA,NA,282,2013,3583,27,3481,75,3831,1609,774,121,143,NA
"15025","fairfax town sch dist",NA,"Vermont",NA,NA,777,2013,11952,140,10119,1693,12070,7286,3123,330,439,NA
"15026","fairfield town sch dist",NA,"Vermont",NA,NA,344,2013,5220,0,5146,74,5383,2459,1108,114,48,NA
"15027","fletcher town school district",NA,"Vermont",NA,NA,237,2013,2847,42,2780,25,3023,1158,624,68,50,NA
"15028","franklin central town sch dist",NA,"Vermont",NA,NA,147,2013,1665,27,1600,38,2010,868,593,78,344,NA
"15029","georgia town sch dist",NA,"Vermont",NA,NA,912,2013,12016,63,11705,248,12186,5013,2276,217,170,NA
"15030","highgate town sch dist",NA,"Vermont",NA,NA,350,2013,4401,71,4252,78,4833,2947,1133,209,38,NA
"15031","montgomery town sch dist",NA,"Vermont",NA,NA,185,2013,2298,20,2217,61,2289,794,559,90,38,NA
"15032","richford town sch dist",NA,"Vermont",NA,NA,450,2013,6243,37,5587,619,6265,3625,1932,323,90,NA
"15033","st albans city schs",NA,"Vermont",NA,NA,777,2013,11173,30,10974,169,11618,7370,2713,513,143,NA
"15034","st albans town school district",NA,"Vermont",NA,NA,764,2013,9609,0,9326,283,9683,6233,2489,343,73,NA
"15035","sheldon town sch dist",NA,"Vermont",NA,NA,373,2013,4864,86,4735,43,5159,2254,1111,123,29,NA
"15036","swanton town sch dist",NA,"Vermont",NA,NA,594,2013,7712,141,7474,97,8686,5450,1823,326,237,NA
"15037","franklin central supv union",NA,"Vermont",NA,NA,0,2013,8829,2709,2045,4075,6814,3110,2946,14,289,NA
"15038","franklin northeast supv union",NA,"Vermont",NA,NA,0,2013,3747,2565,208,974,2455,728,1692,0,35,NA
"15039","franklin northwest supv union",NA,"Vermont",NA,NA,0,2013,5651,3076,379,2196,4070,1650,2375,0,45,NA
"15040","franklin west supervisory union",NA,"Vermont",NA,NA,0,2013,2533,1014,134,1385,2029,404,1594,0,30,NA
"15041","missisquoi valley union high school dist 7",NA,"Vermont",NA,NA,875,2013,14702,208,13693,801,14758,9138,4306,456,296,NA
"15042","alburg town sch dist",NA,"Vermont",NA,NA,302,2013,4662,19,4606,37,5243,2115,1138,96,33,NA
"15043","grand isle town sch dist",NA,"Vermont",NA,NA,315,2013,4761,0,4689,72,4932,2249,1031,0,57,NA
"15044","isle la motte town sch dist",NA,"Vermont",NA,NA,58,2013,1162,2,1139,21,1218,424,204,10,6,NA
"15045","north hero town sch dist",NA,"Vermont",NA,NA,103,2013,1592,0,1525,67,1608,618,319,0,1,NA
"15046","folsom educ & community center",NA,"Vermont",NA,NA,193,2013,3059,0,2933,126,3224,1417,684,0,8,NA
"15047","grand isle supervisory union",NA,"Vermont",NA,NA,0,2013,2311,1196,86,1029,1908,657,968,243,40,NA
"15048","belvidere central town sch dt",NA,"Vermont",NA,NA,32,2013,468,0,437,31,566,4,86,15,0,NA
"15049","cambridge school district","03270","Vermont","Middlesex County","25_017",369,2013,4891,0,4586,305,5340,2867,1668,192,185," 118,364 "
"15050","cambridge school district","02910","Vermont","Lamoille County","50_015",369,2013,4891,0,4586,305,5340,2867,1668,192,185," 3,947 "
"15051","cambridge school district","02100","Vermont","Dane County","55_025",369,2013,4891,0,4586,305,5340,2867,1668,192,185," 52,388 "
"15052","cambridge school district","02100","Vermont","Jefferson County","55_055",369,2013,4891,0,4586,305,5340,2867,1668,192,185," 9,437 "
"15053","eden town sch dist",NA,"Vermont",NA,NA,137,2013,2519,0,2116,403,2814,1429,1126,76,89,NA
"15054","elmore town sch dist",NA,"Vermont",NA,NA,125,2013,1609,2,1597,10,1557,306,56,0,0,NA
"15055","hyde park town sch dist",NA,"Vermont",NA,NA,250,2013,3741,3,3615,123,4073,2545,1048,130,134,NA
"15056","johnson town sch dist",NA,"Vermont",NA,NA,254,2013,3710,7,3483,220,4161,2064,1579,208,7,NA
"15057","morristown town sch dist",NA,"Vermont",NA,NA,809,2013,13120,396,11090,1634,13859,8673,3054,317,502,NA
"15058","stowe town sch dist",NA,"Vermont",NA,NA,660,2013,11152,117,10353,682,11097,6835,2777,322,412,NA
"15059","waterville central town sch dt",NA,"Vermont",NA,NA,59,2013,1633,0,1059,574,1556,830,588,45,31,NA
"15060","wolcott town sch dist",NA,"Vermont",NA,NA,128,2013,4206,7,4115,84,4291,886,633,89,16,NA
