"","School_Dis_Name","School_Dis_Code","STATE","County_Name","State_County_Code","ENROLL","YRDATA","TOTAL_REVENUE","FEDERAL_REVENUE","STATE_REVENUE","LOCAL_REVENUE","TOTAL_EXPENDITURE","INSTRUCTION_EXPENDITURE","SUPPORT_SERVICES_EXPENDITURE","OTHER_EXPENDITURE","CAPITAL_OUTLAY_EXPENDITURE","SNAP"
"633","earle sch dist",NA,"Arkansas",NA,NA,679,2013,8591,1614,6353,624,9355,5223,3356,543,26,NA
"634","west memphis school district","08040","Arkansas","Crittenden County","05_035",5711,2013,54544,8704,42228,3612,51992,29673,18497,2998,513," 15,111 "
"635","marion sch dist",NA,"Arkansas",NA,NA,4169,2013,43669,3872,32995,6802,44486,21690,11644,2013,7961,NA
"636","cross county school district","07740","Arkansas","Cross County","05_037",653,2013,7766,1650,5040,1076,7391,3197,3448,376,205," 3,212 "
"637","cross county school district","07740","Arkansas","Poinsett County","05_111",653,2013,7766,1650,5040,1076,7391,3197,3448,376,205," 6,002 "
"638","cross county school district","07740","Arkansas","Woodruff County","05_147",653,2013,7766,1650,5040,1076,7391,3197,3448,376,205," 1,824 "
"639","wynne sch dist 9",NA,"Arkansas",NA,NA,2827,2013,25840,2882,20391,2567,25564,14585,8037,1531,1271,NA
"640","fordyce sch dist 39",NA,"Arkansas",NA,NA,888,2013,10886,1018,9147,721,10549,6935,2854,450,138,NA
"641","dumas school district","05500","Arkansas","Desha County","05_041",1538,2013,15439,2259,11837,1343,15115,7782,5836,837,216," 3,738 "
"642","dumas school district","05500","Arkansas","Drew County","05_043",1538,2013,15439,2259,11837,1343,15115,7782,5836,837,216," 3,857 "
"643","dumas school district","05500","Arkansas","Lincoln County","05_079",1538,2013,15439,2259,11837,1343,15115,7782,5836,837,216," 2,520 "
"644","mcgehee sch dist",NA,"Arkansas",NA,NA,1211,2013,13028,1792,9652,1584,12376,6552,4495,748,402,NA
"645","drew central sch dist 5",NA,"Arkansas",NA,NA,1001,2013,11090,1429,8561,1100,9741,4909,3252,564,767,NA
"646","monticello sch dist 18",NA,"Arkansas",NA,NA,2154,2013,22387,2860,16994,2533,22052,11976,7111,1902,660,NA
"647","southeast arkansas educ serv coop",NA,"Arkansas",NA,NA,0,2013,13063,3520,6336,3207,12786,3083,6856,2241,602,NA
"648","conway sch dist",NA,"Arkansas",NA,NA,9829,2013,97275,9134,73517,14624,109017,49687,31520,5025,16514,NA
"649","greenbrier school dist",NA,"Arkansas",NA,NA,3356,2013,29752,2165,24504,3083,30748,15940,8855,1141,3827,NA
"650","guy perkins sch dist",NA,"Arkansas",NA,NA,460,2013,4615,467,3356,792,4685,2562,1682,242,102,NA
"651","mayflower sch dist",NA,"Arkansas",NA,NA,1181,2013,11161,1248,8658,1255,11684,5628,3918,572,1153,NA
"652","mt vernon/enola school dist",NA,"Arkansas",NA,NA,507,2013,4733,471,3612,650,4710,2433,1616,327,152,NA
"653","vilonia sch dist",NA,"Arkansas",NA,NA,3269,2013,31129,3162,24455,3512,32500,15811,9434,2126,4437,NA
"654","charleston sch dist",NA,"Arkansas",NA,NA,890,2013,7802,592,6423,787,8022,4304,2281,335,860,NA
"655","county line sch dist",NA,"Arkansas",NA,NA,470,2013,5470,1308,3577,585,5433,2432,1474,236,1155,NA
"656","ozark sch dist",NA,"Arkansas",NA,NA,1925,2013,16778,1859,13261,1658,16020,8882,5508,778,567,NA
"657","western arkansas cooperative",NA,"Arkansas",NA,NA,0,2013,5294,2759,1699,836,5327,1396,3809,0,115,NA
"658","mammoth spring sch dist",NA,"Arkansas",NA,NA,490,2013,4770,656,3585,529,4643,2786,1467,278,73,NA
"659","salem sch dist",NA,"Arkansas",NA,NA,761,2013,6713,816,5275,622,6454,3886,1963,483,106,NA
"660","viola sch dist",NA,"Arkansas",NA,NA,406,2013,4272,486,3239,547,4173,2281,1453,262,76,NA
"661","cutter-morning star sch dist 21",NA,"Arkansas",NA,NA,594,2013,6001,697,4528,776,5247,2868,1921,230,52,NA
"662","fountain lake school district 18",NA,"Arkansas",NA,NA,1318,2013,16434,1766,10756,3912,18411,7789,6756,593,2912,NA
"663","hot springs sch dist 6",NA,"Arkansas",NA,NA,3688,2013,44850,7196,30625,7029,45500,24399,15903,2835,1568,NA
"664","lake hamilton sch dist 5",NA,"Arkansas",NA,NA,4363,2013,41301,3750,31726,5825,40214,20784,13292,2475,2476,NA
"665","lakeside sch dist 9",NA,"Arkansas",NA,NA,3291,2013,33266,3151,23848,6267,36273,15676,10524,1325,7710,NA
"666","mountain pine sch dist 46",NA,"Arkansas",NA,NA,610,2013,6029,833,4522,674,5950,2802,2462,310,195,NA
"667","jessieville sch dist",NA,"Arkansas",NA,NA,954,2013,11350,2481,6946,1923,15056,4655,3257,656,5762,NA
"668","sheridan sch dist",NA,"Arkansas",NA,NA,4263,2013,35814,3211,29158,3445,36499,18615,13881,1883,1221,NA
"669","poyen sch dist 1",NA,"Arkansas",NA,NA,583,2013,5069,481,4125,463,4810,2768,1635,290,39,NA
"670","marmaduke sch dist",NA,"Arkansas",NA,NA,798,2013,6745,858,4984,903,7043,3612,2328,552,515,NA
"671","paragould school district","00017","Arkansas","Greene County","05_055",2904,2013,32434,3692,25557,3185,35131,14623,8340,1730,9400," 7,511 "
"672","greene co tech sch dist",NA,"Arkansas",NA,NA,3694,2013,32908,3287,25841,3780,36819,17752,11819,2074,4117,NA
"673","blevins sch dist",NA,"Arkansas",NA,NA,514,2013,5471,691,4279,501,5194,2796,2063,260,31,NA
"674","hope sch dist",NA,"Arkansas",NA,NA,2629,2013,27124,3947,20234,2943,29505,14661,8684,1732,3832,NA
"675","spring hill sch dist",NA,"Arkansas",NA,NA,575,2013,5573,426,4656,491,5222,2695,1487,263,647,NA
"676","southwest arkansas cooperative",NA,"Arkansas",NA,NA,0,2013,3621,444,2214,963,3743,837,2869,37,0,NA
"677","bismarck sch dist",NA,"Arkansas",NA,NA,1053,2013,9470,945,7467,1058,9099,5116,3229,530,14,NA
"678","glen rose sch dist",NA,"Arkansas",NA,NA,1010,2013,9436,905,7300,1231,9269,5255,3053,560,149,NA
"679","magnet cove sch dist",NA,"Arkansas",NA,NA,658,2013,6728,892,4498,1338,7279,3098,2503,345,1121,NA
"680","malvern sch dist",NA,"Arkansas",NA,NA,2212,2013,22980,3543,16738,2699,24480,11285,7583,1110,3900,NA
"681","ouachita sch dist",NA,"Arkansas",NA,NA,541,2013,4486,398,3523,565,4230,2427,1399,213,88,NA
"682","dierks sch dist",NA,"Arkansas",NA,NA,603,2013,5483,620,4115,748,5175,3282,1409,367,33,NA
"683","mineral springs school dist 3",NA,"Arkansas",NA,NA,485,2013,6193,599,4543,1051,6213,3383,2259,351,113,NA
"684","nashville sch dist",NA,"Arkansas",NA,NA,2069,2013,20824,2144,16806,1874,24989,10551,4700,1179,8188,NA
"685","batesville sch dist",NA,"Arkansas",NA,NA,3153,2013,32555,3473,24151,4931,33880,16022,10455,3541,2897,NA
"686","cedar ridge sch dist",NA,"Arkansas",NA,NA,828,2013,10132,1211,6890,2031,9837,5192,3534,630,341,NA
"687","midland sch district",NA,"Arkansas",NA,NA,597,2013,5996,636,4565,795,10274,3111,1662,362,4933,NA
"688","southside school district","12540","Arkansas","Independence County","05_063",1690,2013,15844,1864,12422,1558,17746,7817,4741,1446,3533," 5,861 "
"689","southside school district","08220","Arkansas","Mason County","53_045",1690,2013,15844,1864,12422,1558,17746,7817,4741,1446,3533," 12,073 "
"690","calico rock sch dist",NA,"Arkansas",NA,NA,401,2013,4216,627,3102,487,4098,2040,1628,348,10,NA
"691","melbourne school dist",NA,"Arkansas",NA,NA,880,2013,8997,892,6970,1135,8016,4595,2449,566,163,NA
"692","izard county consolidated school district",NA,"Arkansas",NA,NA,532,2013,5737,799,4182,756,5805,2860,2302,401,95,NA
"693","northcentral arkansas educal serv center",NA,"Arkansas",NA,NA,0,2013,3575,474,1836,1265,3481,827,2497,103,50,NA
"694","newport sch dist",NA,"Arkansas",NA,NA,1438,2013,15912,2781,11530,1601,15644,8976,5141,921,397,NA
"695","jackson county school district","01830","Arkansas","Jackson County","01_071",909,2013,7895,869,6188,838,7797,4272,2556,549,152," 9,585 "
"696","jackson county school district","13230","Arkansas","Jackson County","05_067",909,2013,7895,869,6188,838,7797,4272,2556,549,152," 3,726 "
"697","jackson county school district","13230","Arkansas","Poinsett County","05_111",909,2013,7895,869,6188,838,7797,4272,2556,549,152," 6,002 "
"698","jackson county school district","00960","Arkansas","Jackson County","12_063",909,2013,7895,869,6188,838,7797,4272,2556,549,152," 9,470 "
"699","jackson county school district","02940","Arkansas","Jackson County","13_157",909,2013,7895,869,6188,838,7797,4272,2556,549,152," 9,080 "
"700","jackson county school district","02940","Arkansas","Jackson County","21_109",909,2013,7895,869,6188,838,7797,4272,2556,549,152," 4,552 "
"701","jackson county school district","02160","Arkansas","Jackson County","28_059",909,2013,7895,869,6188,838,7797,4272,2556,549,152," 23,707 "
"702","jackson county school district","02070","Arkansas","Jackson County","47_087",909,2013,7895,869,6188,838,7797,4272,2556,549,152," 3,012 "
"703","jackson county school district","00540","Arkansas","Jackson County","54_035",909,2013,7895,869,6188,838,7797,4272,2556,549,152," 5,881 "
"704","dollarway sch dist 2",NA,"Arkansas",NA,NA,1442,2013,18367,2957,13546,1864,17921,9282,6733,1029,177,NA
"705","pine bluff sch dist 3",NA,"Arkansas",NA,NA,4692,2013,51204,7925,38662,4617,52168,26414,20876,2822,657,NA
"706","watson chapel sch dist 24",NA,"Arkansas",NA,NA,2992,2013,26462,3334,21870,1258,26619,14107,10518,1379,315,NA
"707","white hall sch dist 27",NA,"Arkansas",NA,NA,2993,2013,27264,2016,21813,3435,27076,14376,9748,1288,688,NA
"708","arkansas river educ serv coop",NA,"Arkansas",NA,NA,0,2013,5012,327,3373,1312,4845,2263,1353,1186,43,NA
"709","clarksville sch dist 17",NA,"Arkansas",NA,NA,2590,2013,23559,2717,18714,2128,23659,13327,8035,1474,466,NA
"710","westside sch dist",NA,"Arkansas",NA,NA,654,2013,6590,1063,4958,569,6425,3652,1962,458,192,NA
"711","lamar sch dist 39",NA,"Arkansas",NA,NA,1219,2013,11144,1571,8594,979,10217,5941,3124,514,474,NA
"712","bradley sch dist 20",NA,"Arkansas",NA,NA,384,2013,3949,525,2820,604,4645,2276,1004,252,1023,NA
"713","lafayette county school district","00065","Arkansas","Columbia County","05_027",721,2013,7539,1275,5338,926,7895,3889,3193,467,278," 4,881 "
"714","lafayette county school district","00065","Arkansas","Lafayette County","05_073",721,2013,7539,1275,5338,926,7895,3889,3193,467,278," 1,690 "
"715","lafayette county school district","00065","Arkansas","Miller County","05_091",721,2013,7539,1275,5338,926,7895,3889,3193,467,278," 8,499 "
"716","lafayette county school district","00065","Arkansas","Nevada County","05_099",721,2013,7539,1275,5338,926,7895,3889,3193,467,278," 1,792 "
"717","lafayette county school district","01020","Arkansas","Lafayette County","12_067",721,2013,7539,1275,5338,926,7895,3889,3193,467,278," 1,228 "
"718","lafayette county school district","02370","Arkansas","Lafayette County","28_071",721,2013,7539,1275,5338,926,7895,3889,3193,467,278," 5,232 "
"719","hoxie public school district 46",NA,"Arkansas",NA,NA,925,2013,10074,1417,7732,925,11991,5441,2611,651,3092,NA
"720","sloan hendrix sch dist",NA,"Arkansas",NA,NA,721,2013,7350,986,5755,609,7771,3287,2178,389,1871,NA
"721","hillcrest school district","00071","Arkansas","Independence County","05_063",406,2013,5190,688,3954,548,5224,2064,2311,304,498," 5,861 "
"722","hillcrest school district","00071","Arkansas","Lawrence County","05_075",406,2013,5190,688,3954,548,5224,2064,2311,304,498," 3,225 "
"723","hillcrest school district","00071","Arkansas","Sharp County","05_135",406,2013,5190,688,3954,548,5224,2064,2311,304,498," 3,584 "
"724","lawrence county school district","02040","Arkansas","Lawrence County","01_079",1193,2013,10332,1277,7860,1195,10503,6225,3346,549,273," 6,694 "
"725","lawrence county school district","00082","Arkansas","Lawrence County","05_075",1193,2013,10332,1277,7860,1195,10503,6225,3346,549,273," 3,225 "
"726","lawrence county school district","03240","Arkansas","Lawrence County","21_127",1193,2013,10332,1277,7860,1195,10503,6225,3346,549,273," 4,726 "
"727","lawrence county school district","02490","Arkansas","Lawrence County","28_077",1193,2013,10332,1277,7860,1195,10503,6225,3346,549,273," 2,714 "
"728","lawrence county school district","02340","Arkansas","Lawrence County","47_099",1193,2013,10332,1277,7860,1195,10503,6225,3346,549,273," 8,878 "
"729","northeast arkansas educational cooperative",NA,"Arkansas",NA,NA,0,2013,4880,585,3196,1099,4722,1933,2640,0,149,NA
"730","lee county sch district 1",NA,"Arkansas",NA,NA,1028,2013,11374,2426,8085,863,11707,5661,5384,598,56,NA
"731","star city sch dist 11",NA,"Arkansas",NA,NA,1677,2013,16108,1731,12819,1558,18712,8372,6561,1162,2271,NA
"732","ashdown sch dist 31",NA,"Arkansas",NA,NA,1431,2013,14083,1559,10423,2101,14310,7289,5388,959,134,NA
"733","foreman sch dist",NA,"Arkansas",NA,NA,562,2013,5443,566,4076,801,5180,2439,1989,353,276,NA
"734","booneville sch dist",NA,"Arkansas",NA,NA,1356,2013,13320,1730,10047,1543,13714,6878,4356,915,976,NA
"735","magazine sch dist",NA,"Arkansas",NA,NA,610,2013,5871,752,4454,665,5727,2912,1972,503,58,NA
"736","paris sch dist 7",NA,"Arkansas",NA,NA,1178,2013,11342,1395,8493,1454,11225,5892,4036,810,82,NA
"737","scranton sch dist",NA,"Arkansas",NA,NA,398,2013,4033,347,3072,614,3827,2061,1352,172,145,NA
"738","cabot school district 4",NA,"Arkansas",NA,NA,10423,2013,100041,6509,83172,10360,104584,50748,30057,4217,17695,NA
"739","carlisle sch dist",NA,"Arkansas",NA,NA,769,2013,7685,789,5788,1108,7056,3695,2602,357,21,NA
"740","england sch dist",NA,"Arkansas",NA,NA,721,2013,8452,795,6052,1605,8732,4073,3800,323,382,NA
"741","lonoke sch dist",NA,"Arkansas",NA,NA,1890,2013,19292,1952,15124,2216,23189,8642,5600,1329,6636,NA
"742","huntsville sch dist 1",NA,"Arkansas",NA,NA,2306,2013,20872,2556,16348,1968,22052,12387,7581,1345,388,NA
"743","flippin sch dist",NA,"Arkansas",NA,NA,870,2013,8344,1009,6190,1145,8162,4663,2827,419,187,NA
"744","yellville-summit sch dist",NA,"Arkansas",NA,NA,791,2013,8043,1033,6175,835,8010,4224,2946,406,131,NA
"745","genoa central sch dist",NA,"Arkansas",NA,NA,1111,2013,9775,679,8092,1004,9059,5102,2944,473,264,NA
"746","fouke sch dist 15",NA,"Arkansas",NA,NA,1079,2013,10461,1017,8296,1148,9495,5224,3246,568,210,NA
"747","texarkana sch dist 7",NA,"Arkansas",NA,NA,4504,2013,47406,5968,36308,5130,47712,24394,18974,3228,605,NA
"748","armorel school dist",NA,"Arkansas",NA,NA,443,2013,7190,382,4976,1832,5076,2632,1594,216,514,NA
"749","blytheville sch dist 5",NA,"Arkansas",NA,NA,2633,2013,29403,5046,22217,2140,28704,15410,10603,1768,316,NA
"750","gosnell sch dist 6",NA,"Arkansas",NA,NA,1376,2013,11551,1214,9532,805,11557,6423,4177,653,289,NA
"751","manila sch dist 15",NA,"Arkansas",NA,NA,1084,2013,9491,976,7480,1035,9081,5356,2932,505,105,NA
"752","osceola sch dist 1",NA,"Arkansas",NA,NA,1380,2013,16883,4619,10994,1270,18146,6997,7752,1029,1658,NA
"753","south mississippi co school dist",NA,"Arkansas",NA,NA,1356,2013,18059,1502,12800,3757,15627,6361,4472,776,3636,NA
"754","brinkley sch dist",NA,"Arkansas",NA,NA,632,2013,7102,929,5283,890,6230,3201,2426,561,9,NA
"755","clarendon sch dist 6",NA,"Arkansas",NA,NA,573,2013,6525,1199,4615,711,6158,3185,2457,373,88,NA
"756","mt ida sch dist 20",NA,"Arkansas",NA,NA,515,2013,5251,1112,3387,752,5367,2608,2137,333,119,NA
"757","caddo hills sch dist 28",NA,"Arkansas",NA,NA,611,2013,5852,1132,4251,469,5769,3148,2096,386,67,NA
"758","prescott sch dist 14",NA,"Arkansas",NA,NA,1087,2013,10257,1276,8174,807,10295,4832,3658,604,1035,NA
"759","nevada school dist 1",NA,"Arkansas",NA,NA,375,2013,4076,502,3003,571,4009,2015,1536,316,111,NA
"760","deer- mount judea sch dist",NA,"Arkansas",NA,NA,406,2013,5035,934,3611,490,5395,2738,1752,290,492,NA
"761","jasper sch dist",NA,"Arkansas",NA,NA,931,2013,11633,1670,8927,1036,11764,5267,3812,597,1826,NA
"762","ozark mountain sch dist 12",NA,"Arkansas",NA,NA,635,2013,8247,1064,6407,776,8391,4025,3269,564,357,NA
"763","bearden sch dist 53",NA,"Arkansas",NA,NA,568,2013,6082,830,4575,677,5892,2979,2353,395,10,NA
"764","camden-fairview school dist",NA,"Arkansas",NA,NA,2528,2013,25228,3141,19487,2600,25420,12278,10001,1545,1059,NA
"765","harmony grove sch dist 1",NA,"Arkansas",NA,NA,1057,2013,10174,975,8186,1013,9900,5187,3669,531,93,NA
"766","stephens sch dist 13",NA,"Arkansas",NA,NA,366,2013,4172,631,3071,470,3691,1861,1561,231,10,NA
"767","south central serv coop",NA,"Arkansas",NA,NA,0,2013,3705,552,2547,606,3703,1337,2290,47,29,NA
"768","east end sch dist 1",NA,"Arkansas",NA,NA,643,2013,7592,667,6100,825,8315,2742,2276,395,2684,NA
"769","perryville sch dist 7",NA,"Arkansas",NA,NA,994,2013,8837,1031,7002,804,8420,4723,2876,506,147,NA
"770","barton-lexa school dist",NA,"Arkansas",NA,NA,852,2013,7387,779,6114,494,7772,4340,2152,439,764,NA
"771","helena-west helena school district 2",NA,"Arkansas",NA,NA,1682,2013,25208,5673,17777,1758,22026,9025,9521,1204,1951,NA
"772","marvell sch dist 22",NA,"Arkansas",NA,NA,494,2013,7984,3174,3992,818,8023,4038,3452,354,69,NA
"773","great rivers cooperative",NA,"Arkansas",NA,NA,0,2013,5303,1879,2203,1221,5221,1032,4179,0,10,NA
"774","centerpoint school district","06690","Arkansas","Clark County","05_019",981,2013,9634,1146,7429,1059,9378,4907,3497,658,172," 3,320 "
"775","centerpoint school district","06690","Arkansas","Garland County","05_051",981,2013,9634,1146,7429,1059,9378,4907,3497,658,172," 16,006 "
"776","centerpoint school district","06690","Arkansas","Hot Spring County","05_059",981,2013,9634,1146,7429,1059,9378,4907,3497,658,172," 5,447 "
"777","centerpoint school district","06690","Arkansas","Pike County","05_109",981,2013,9634,1146,7429,1059,9378,4907,3497,658,172," 1,955 "
"778","kirby sch dist 32",NA,"Arkansas",NA,NA,356,2013,3816,468,2896,452,3541,2111,1102,236,3,NA
"779","south pike county school district","10320","Arkansas","Clark County","05_019",724,2013,7368,726,5616,1026,7328,4192,2268,380,351," 3,320 "
"780","south pike county school district","10320","Arkansas","Howard County","05_061",724,2013,7368,726,5616,1026,7328,4192,2268,380,351," 2,671 "
"781","south pike county school district","10320","Arkansas","Pike County","05_109",724,2013,7368,726,5616,1026,7328,4192,2268,380,351," 1,955 "
"782","harrisburg sch dist 6",NA,"Arkansas",NA,NA,1377,2013,13974,1854,10667,1453,14604,7786,5262,608,746,NA
"783","east poinsett co sch dist",NA,"Arkansas",NA,NA,789,2013,7785,869,6311,605,7467,3913,2385,462,673,NA
"784","marked tree sch dist 28",NA,"Arkansas",NA,NA,604,2013,5964,971,4490,503,5962,2985,2407,318,223,NA
"785","trumann sch dist 21",NA,"Arkansas",NA,NA,1569,2013,15664,2180,12305,1179,14226,8147,4804,805,235,NA
"786","crowley's ridge educational service cooperative",NA,"Arkansas",NA,NA,0,2013,5397,1285,2665,1447,4825,1671,3028,0,126,NA
"787","ouachita river sch dist 30",NA,"Arkansas",NA,NA,761,2013,7316,1176,5407,733,7358,3739,2696,559,267,NA
"788","mena sch dist",NA,"Arkansas",NA,NA,1859,2013,18183,2796,13160,2227,19098,9550,5663,1164,2109,NA
"789","cossatot river school district","00405","Arkansas","Howard County","05_061",1136,2013,18593,1799,15601,1193,21732,5860,3653,797,10998," 2,671 "
"790","cossatot river school district","00405","Arkansas","Polk County","05_113",1136,2013,18593,1799,15601,1193,21732,5860,3653,797,10998," 4,113 "
"791","cossatot river school district","00405","Arkansas","Sevier County","05_133",1136,2013,18593,1799,15601,1193,21732,5860,3653,797,10998," 3,525 "
"792","atkins sch dist",NA,"Arkansas",NA,NA,1031,2013,10230,1343,7886,1001,10499,5781,3024,508,710,NA
"793","dover sch dist 17",NA,"Arkansas",NA,NA,1499,2013,12858,1311,10171,1376,12548,6496,4544,803,265,NA
"794","hector sch dist 59",NA,"Arkansas",NA,NA,603,2013,7567,882,4752,1933,6708,3404,2382,279,499,NA
"795","pottsville sch dist 61",NA,"Arkansas",NA,NA,1662,2013,14846,1158,12230,1458,14849,8719,4227,628,744,NA
"796","russellville sch dist 14",NA,"Arkansas",NA,NA,5222,2013,59552,6435,42354,10763,57755,29024,18163,3670,4846,NA
"797","des arc sch dist #5",NA,"Arkansas",NA,NA,608,2013,5673,660,4400,613,5427,2957,1679,656,94,NA
"798","hazen sch dist",NA,"Arkansas",NA,NA,674,2013,6460,721,4827,912,6686,3938,2206,459,29,NA
"799","little rock sch district",NA,"Arkansas",NA,NA,25097,2013,358324,41383,266953,49988,369570,172194,128541,16463,19681,NA
"800","north little rock school district","10680","Arkansas","Pulaski County","05_119",9147,2013,99477,12673,76859,9945,103537,49248,34670,5134,11294," 68,166 "
"801","pulaski co special school dist",NA,"Arkansas",NA,NA,17937,2013,208222,18817,158837,30568,204248,96254,74314,9411,12647,NA
"802","maynard sch dist",NA,"Arkansas",NA,NA,482,2013,4687,666,3617,404,4740,2741,1630,349,9,NA
"803","pocahontas sch dist",NA,"Arkansas",NA,NA,1914,2013,16445,1835,13076,1534,16886,9441,4826,1105,1420,NA
"804","forrest city sch dist 7",NA,"Arkansas",NA,NA,3232,2013,35116,7268,25531,2317,35357,18665,12485,2368,1210,NA
"805","hughes sch dist 27",NA,"Arkansas",NA,NA,348,2013,5452,1426,3410,616,5181,2808,2018,225,104,NA
"806","palestine-wheatley sch dist",NA,"Arkansas",NA,NA,701,2013,7628,801,6117,710,8492,3305,2225,452,2329,NA
"807","bauxite sch dist 14",NA,"Arkansas",NA,NA,1559,2013,13358,922,11032,1404,13193,6644,4375,647,1015,NA
"808","benton sch dist 8",NA,"Arkansas",NA,NA,4859,2013,44567,3152,35593,5822,45309,21848,13224,1848,6439,NA
"809","bryant sch dist 25",NA,"Arkansas",NA,NA,8700,2013,79119,4579,65901,8639,82459,41044,23421,2471,13538,NA
"810","harmony grove sch dist 1",NA,"Arkansas",NA,NA,1080,2013,11272,654,9480,1138,10920,5230,3116,462,1787,NA
"811","waldron sch dist",NA,"Arkansas",NA,NA,1714,2013,17536,3199,13068,1269,17699,8770,5279,1177,2031,NA
"812","searcy county school district","09480","Arkansas","Marion County","05_089",950,2013,10488,1412,7639,1437,10650,5696,3730,794,245," 2,889 "
"813","searcy county school district","09480","Arkansas","Searcy County","05_129",950,2013,10488,1412,7639,1437,10650,5696,3730,794,245," 1,387 "
"814","searcy county school district","09480","Arkansas","Van Buren County","05_141",950,2013,10488,1412,7639,1437,10650,5696,3730,794,245," 2,855 "
"815","fort smith sch dist",NA,"Arkansas",NA,NA,14374,2013,143918,17595,109319,17004,150446,76329,51292,9404,11017,NA
"816","greenwood sch dist",NA,"Arkansas",NA,NA,3652,2013,33265,2172,26396,4697,32042,17609,11079,1377,484,NA
"817","hackett sch dist",NA,"Arkansas",NA,NA,641,2013,5633,486,4638,509,5474,3009,1913,291,120,NA
"818","hartford sch dist 94",NA,"Arkansas",NA,NA,390,2013,3879,521,2922,436,3638,1763,1486,268,76,NA
"819","lavaca sch dist",NA,"Arkansas",NA,NA,911,2013,8637,894,6664,1079,9181,4252,2991,456,1119,NA
"820","mansfield sch dist",NA,"Arkansas",NA,NA,880,2013,8787,975,6846,966,8472,4550,2823,436,263,NA
"821","dequeen sch dist 17",NA,"Arkansas",NA,NA,2413,2013,23637,3233,18254,2150,24455,14026,7560,1582,1055,NA
"822","horatio sch dist 55",NA,"Arkansas",NA,NA,870,2013,9761,1057,8023,681,11190,4449,2748,440,3317,NA
"823","dequeen/mena educational coop",NA,"Arkansas",NA,NA,0,2013,8412,1272,5377,1763,8203,4330,3031,741,101,NA
"824","cave city sch dist 2 a",NA,"Arkansas",NA,NA,1422,2013,13150,1486,10466,1198,12784,7171,3817,1141,409,NA
"825","highland sch dist",NA,"Arkansas",NA,NA,1530,2013,14531,2018,10819,1694,14359,7804,4900,810,736,NA
"826","mountain view sch dist",NA,"Arkansas",NA,NA,1754,2013,17036,2098,13423,1515,16715,9216,4647,871,1909,NA
"827","el dorado sch dist 15",NA,"Arkansas",NA,NA,4492,2013,42486,4883,32046,5557,39453,20905,14606,2069,1088,NA
"828","junction city sch dist 75",NA,"Arkansas",NA,NA,526,2013,5517,674,3774,1069,5451,2852,1965,390,138,NA
"829","norphlet sch dist 50",NA,"Arkansas",NA,NA,432,2013,4325,427,3124,774,4060,2312,1486,175,18,NA
"830","parkers chapel sch dist",NA,"Arkansas",NA,NA,723,2013,6074,445,4578,1051,6037,3511,1903,296,143,NA
"831","smackover sch dist 39",NA,"Arkansas",NA,NA,886,2013,8777,758,6512,1507,8691,4670,3187,325,297,NA
"832","strong-huttig school district",NA,"Arkansas",NA,NA,445,2013,5196,767,3832,597,4988,2272,2248,380,44,NA
"833","clinton sch dist 1",NA,"Arkansas",NA,NA,1385,2013,14367,1915,10028,2424,18467,7612,4949,875,3991,NA
"834","shirley sch dist 3",NA,"Arkansas",NA,NA,418,2013,5234,527,3607,1100,5239,2882,1823,326,111,NA
"835","south side school district",NA,"Arkansas",NA,NA,506,2013,10083,606,6917,2560,7140,3417,2342,388,893,NA
"836","elkins sch dist 10",NA,"Arkansas",NA,NA,1114,2013,15588,717,13577,1294,17730,4929,3786,598,7940,NA
"837","farmington sch dist 6",NA,"Arkansas",NA,NA,2283,2013,20710,1275,16888,2547,19444,10326,6346,1042,627,NA
"838","fayetteville sch dist 1",NA,"Arkansas",NA,NA,9142,2013,107166,11155,78631,17380,145665,58217,34607,5049,42354,NA
"839","greenland sch dist 95",NA,"Arkansas",NA,NA,776,2013,8116,951,5972,1193,7925,4091,2825,425,264,NA
"840","lincoln sch dist 48",NA,"Arkansas",NA,NA,1302,2013,16132,2725,11700,1707,17309,6366,5893,931,3413,NA
"841","prairie grove valley sch dist 23",NA,"Arkansas",NA,NA,1845,2013,16783,1295,13542,1946,16394,8869,5324,814,1073,NA
"842","springdale sch dist 50",NA,"Arkansas",NA,NA,20741,2013,205492,19365,164534,21593,210982,108260,62045,10400,23379,NA
"843","west fork sch dist 141",NA,"Arkansas",NA,NA,1227,2013,11466,982,9509,975,11517,5589,3704,640,1320,NA
"844","northwest arkansas educ serv coop",NA,"Arkansas",NA,NA,0,2013,3652,573,2487,592,3631,1696,1870,0,65,NA
"845","bald knob sch dist",NA,"Arkansas",NA,NA,1264,2013,15354,1585,11877,1892,17197,6704,3809,890,5455,NA
"846","beebe sch dist",NA,"Arkansas",NA,NA,3283,2013,32265,3334,24833,4098,32523,16322,9277,2294,3994,NA
"847","bradford sch dist",NA,"Arkansas",NA,NA,481,2013,5096,1026,3649,421,5118,2541,1609,283,556,NA
"848","white co central school dist",NA,"Arkansas",NA,NA,706,2013,7666,1254,5369,1043,7358,3665,2282,394,921,NA
"849","riverview school district","08400","Arkansas","White County","05_145",1454,2013,14795,1967,11003,1825,16492,7979,4732,1558,2068," 11,503 "
"850","riverview school district","20430","Arkansas","Allegheny County","42_003",1454,2013,14795,1967,11003,1825,16492,7979,4732,1558,2068," 160,102 "
"851","riverview school district","04560","Arkansas","King County","53_033",1454,2013,14795,1967,11003,1825,16492,7979,4732,1558,2068," 238,654 "
