Table with column headers in row 3,,,
"Table:  County SNAP benefits recipients
Source:  U.S. Census Bureau, Small Area Estimates Branch
Release Date:  December 2021",,,
State FIPS code,County FIPS code,Name,July 2013
06,033,"Lake County, CA"," 10,701 "
06,035,"Lassen County, CA"," 3,047 "
06,037,"Los Angeles County, CA"," 1,164,354 "
06,039,"Madera County, CA"," 27,487 "
06,041,"Marin County, CA"," 9,776 "
06,043,"Mariposa County, CA"," 1,902 "
06,045,"Mendocino County, CA"," 13,496 "
06,047,"Merced County, CA"," 56,871 "
06,049,"Modoc County, CA", 956 
06,051,"Mono County, CA", 672 
06,053,"Monterey County, CA"," 47,154 "
06,055,"Napa County, CA"," 6,807 "
06,057,"Nevada County, CA"," 7,635 "
06,059,"Orange County, CA"," 235,126 "
06,061,"Placer County, CA"," 18,037 "
06,063,"Plumas County, CA"," 1,644 "
06,065,"Riverside County, CA"," 283,629 "
06,067,"Sacramento County, CA"," 213,177 "
06,069,"San Benito County, CA"," 6,359 "
06,071,"San Bernardino County, CA"," 381,559 "
06,073,"San Diego County, CA"," 264,226 "
06,075,"San Francisco County, CA"," 49,765 "
06,077,"San Joaquin County, CA"," 115,309 "
06,079,"San Luis Obispo County, CA"," 17,702 "
06,081,"San Mateo County, CA"," 29,376 "
06,083,"Santa Barbara County, CA"," 32,932 "
06,085,"Santa Clara County, CA"," 111,182 "
06,087,"Santa Cruz County, CA"," 23,246 "
06,089,"Shasta County, CA"," 24,275 "
06,091,"Sierra County, CA", 313 
06,093,"Siskiyou County, CA"," 6,646 "
06,095,"Solano County, CA"," 42,114 "
06,097,"Sonoma County, CA"," 35,022 "
06,099,"Stanislaus County, CA"," 93,200 "
06,101,"Sutter County, CA"," 12,700 "
06,103,"Tehama County, CA"," 10,151 "
06,105,"Trinity County, CA"," 1,554 "
06,107,"Tulare County, CA"," 116,882 "
06,109,"Tuolumne County, CA"," 5,279 "
06,111,"Ventura County, CA"," 68,237 "
06,113,"Yolo County, CA"," 16,758 "
06,115,"Yuba County, CA"," 13,213 "
08,000,Colorado," 505,745 "
08,001,"Adams County, CO"," 56,496 "
08,003,"Alamosa County, CO"," 3,715 "
08,005,"Arapahoe County, CO"," 52,801 "
08,007,"Archuleta County, CO"," 1,125 "
08,009,"Baca County, CO", 395 
08,011,"Bent County, CO", 872 
08,013,"Boulder County, CO"," 16,518 "
08,014,"Broomfield County, CO"," 2,045 "
08,015,"Chaffee County, CO"," 1,415 "
08,017,"Cheyenne County, CO", 160 
08,019,"Clear Creek County, CO", 534 
08,021,"Conejos County, CO"," 1,844 "
08,023,"Costilla County, CO"," 1,031 "
08,025,"Crowley County, CO", 781 
08,027,"Custer County, CO", 338 
08,029,"Delta County, CO"," 3,966 "
08,031,"Denver County, CO"," 89,885 "
08,033,"Dolores County, CO", 154 
08,035,"Douglas County, CO"," 6,344 "
08,037,"Eagle County, CO"," 1,636 "
08,039,"Elbert County, CO"," 1,054 "
08,041,"El Paso County, CO"," 70,843 "
