leaid,year,fips,district_id,district_name,est_population_total,est_population_5_17,est_population_5_17_poverty,est_population_5_17_poverty_pct,est_population_5_17_pct
505680,2013,5,5680,El Dorado School District,25733,4472,1545,0.345483,0.17378463
505760,2013,5,5760,Elkins School District,5367,1076,157,0.14591078,0.20048444
500068,2013,5,68,Emerson-Taylor-Bradley School District,5597,955,281,0.29424083,0.17062712
505850,2013,5,5850,England School District,4345,778,230,0.29562983,0.17905639
505970,2013,5,5970,Eureka Springs School District,8102,803,278,0.34620175,0.09911133
506090,2013,5,6090,Farmington School District,11739,2415,428,0.17722568,0.20572451
506120,2013,5,6120,Fayetteville School District,83601,10886,2262,0.20778982,0.13021375
506150,2013,5,6150,Flippin School District,7132,860,295,0.34302327,0.12058329
506210,2013,5,6210,Fordyce School District,5593,1029,290,0.281827,0.18397997
506240,2013,5,6240,Foreman School District,2687,518,100,0.19305019,0.19278005
506270,2013,5,6270,Forrest City School District,22796,3655,1725,0.47195622,0.16033515
506330,2013,5,6330,Fort Smith Public Schools,90592,15741,5343,0.33943206,0.17375706
506360,2013,5,6360,Fouke School District,5779,1136,266,0.23415492,0.19657381
506420,2013,5,6420,Fountain Lake School District,15003,1293,281,0.21732405,0.086182766
504110,2013,5,4110,Genoa Central School District,4674,952,240,0.25210086,0.20367993
506540,2013,5,6540,Gentry Public Schools,8166,1724,374,0.21693735,0.21111928
506630,2013,5,6630,Glen Rose School District,5371,1003,271,0.27018943,0.18674362
500029,2013,5,29,Gosnell School District,5629,1268,336,0.26498422,0.22526203
506840,2013,5,6840,Gravette School District,15780,2200,462,0.21,0.13941698
506870,2013,5,6870,Green Forest School District,7482,1509,500,0.33134526,0.20168404
506900,2013,5,6900,Greenbrier School District,15868,3407,443,0.13002641,0.21470885
513080,2013,5,13080,Greene County Technical School District,19091,3583,754,0.21043818,0.18768007
506930,2013,5,6930,Greenland Public Schools,6741,1306,399,0.30551302,0.1937398
506990,2013,5,6990,Greenwood School District,20085,3924,564,0.1437309,0.19536968
507110,2013,5,7110,Gurdon School District,4381,789,233,0.29531053,0.18009587
507140,2013,5,7140,Guy-Perkins Schools,2662,527,106,0.20113853,0.19797145
507170,2013,5,7170,Hackett Public Schools,2960,553,132,0.238698,0.18682432
