,STATE,Abbe,ENROLL,NAME,YRDATA,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT,,Alabama,AL
45687,Alabama,AL,9229,DOTHAN CITY SCHOOL DISTRICT,2013,82192,12687,46158,23347,84523,48198,26647,7098,1922,,,
45688,Alabama,AL,6450,HOUSTON COUNTY SCHOOL DISTRICT,2013,54211,5996,32426,15789,57837,30071,16571,4554,5914,,,
45689,Alabama,AL,5760,JACKSON COUNTY SCHOOL DISTRICT,2013,60184,6748,35144,18292,57441,26883,20277,5632,4525,,,
45690,Alabama,AL,2627,SCOTTSBORO CITY SCHOOL DISTRICT,2013,27470,2340,15002,10128,24859,13244,8484,2309,487,,,
45691,Alabama,AL,4068,BESSEMER CITY SCHOOL DISTRICT,2013,41612,7122,22408,12082,43444,20933,14291,3956,3443,,,
45692,Alabama,AL,25104,BIRMINGHAM CITY SCHOOL DISTRICT,2013,260624,43386,121766,95472,317169,136895,93624,23506,40005,,,
45693,Alabama,AL,1770,FAIRFIELD CITY SCHOOL DISTRICT,2013,17481,2458,10456,4567,20473,8892,6692,1497,3270,,,
45694,Alabama,AL,36069,JEFFERSON COUNTY BOARD OF EDUCATION,2013,332957,36354,186535,110068,357969,179942,110206,27811,13451,,,
45695,Alabama,AL,1096,TARRANT CITY SCHOOL DISTRICT,2013,12112,2016,7048,3048,11932,5503,4708,1217,391,,,
45696,Alabama,AL,1798,LEEDS CITY SCHOOL DISTRICT,2013,15342,1545,8664,5133,17605,8514,5361,1239,147,,,
45697,Alabama,AL,4233,TRUSSVILLE CITY SCHOOL DISTRICT,2013,40179,991,21075,18113,43494,21265,14498,3090,2114,,,
45698,Alabama,AL,13764,HOOVER CITY SCHOOL DISTRICT,2013,152769,6277,62765,83727,165188,88842,49122,11622,8241,,,
45699,Alabama,AL,4468,MOUNTAIN BROOK SCHOOLS,2013,56678,855,19272,36551,60496,33294,17154,3693,5720,,,
45700,Alabama,AL,3711,HOMEWOOD CITY SCHOOL DISTRICT,2013,46397,1917,15403,29077,53306,30402,14230,3325,4038,,,
45701,Alabama,AL,1236,MIDFIELD CITY SCHOOL DISTRICT,2013,13165,2896,7609,2660,13336,6139,4836,1194,1132,,,
45702,Alabama,AL,6667,VESTAVIA HILLS CITY SCHOOL DISTRICT,2013,71278,1523,29721,40034,79911,43192,20806,4012,7304,,,
45703,Alabama,AL,2380,LAMAR COUNTY SCHOOL DISTRICT,2013,21036,2435,14188,4413,20033,10427,6835,2121,373,,,
45704,Alabama,AL,4369,FLORENCE CITY SCHOOL DISTRICT,2013,52107,7035,21896,23176,55074,28587,16641,3174,5172,,,
45705,Alabama,AL,8760,LAUDERDALE COUNTY SCHOOL DISTRICT,2013,75503,6398,48102,21003,74606,43225,22025,5818,3332,,,
45706,Alabama,AL,5090,LAWRENCE COUNTY SCHOOL DISTRICT,2013,48554,6048,27975,14531,49986,25567,15733,4285,3550,,,
45707,Alabama,AL,9793,LEE COUNTY SCHOOL DISTRICT,2013,88705,7557,52122,29026,88880,48582,25951,6705,4829,,,
45708,Alabama,AL,4299,OPELIKA CITY SCHOOLS,2013,44586,5031,21017,18538,74794,26599,13650,5014,28622,,,
45709,Alabama,AL,7422,AUBURN CITY SCHOOL DISTRICT,2013,77076,4264,32464,40348,77003,38883,23378,4624,9096,,,
45710,Alabama,AL,3205,ATHENS CITY SCHOOL DISTRICT,2013,36800,2585,16479,17736,36172,21007,9832,2379,1975,,,
45711,Alabama,AL,8948,LIMESTONE COUNTY SCHOOL DISTRICT,2013,82870,6246,50514,26110,79430,45904,23537,5815,2745,,,
45712,Alabama,AL,1749,LOWNDES COUNTY SCHOOL DISTRICT,2013,27328,11400,11228,4700,26063,11303,11966,2094,349,,,
45713,Alabama,AL,2361,MACON COUNTY SCHOOL DISTRICT,2013,25895,4922,15587,5386,27239,11467,10948,2080,1456,,,
45714,Alabama,AL,23437,HUNTSVILLE CITY SCHOOL DISTRICT,2013,257889,25093,111925,120871,274014,133396,90958,13607,27401,,,
45715,Alabama,AL,19764,MADISON COUNTY SCHOOL DISTRICT,2013,175756,12982,103776,58998,190287,94079,54797,15167,19580,,,
45716,Alabama,AL,9375,MADISON CITY SCHOOL DISTRICT,2013,93497,4838,48482,40177,93475,49284,29696,5241,4593,,,
45717,Alabama,AL,2290,DEMOPOLIS CITY SCHOOL DISTRICT,2013,21388,1930,12394,7064,21202,11469,6193,1791,1439,,,
45718,Alabama,AL,1266,MARENGO COUNTY SCHOOL DISTRICT,2013,14690,3440,8116,3134,14672,7367,5633,1366,70,,,
45719,Alabama,AL,519,LINDEN CITY SCHOOL DISTRICT,2013,5513,811,3481,1221,5241,2394,2289,538,0,,,
45720,Alabama,AL,3459,MARION COUNTY SCHOOL DISTRICT,2013,32362,3855,20574,7933,34260,17429,8872,2934,4943,,,
45721,Alabama,AL,1291,WINFIELD CITY SCHOOL DISTRICT,2013,11836,1066,7326,3444,11349,6383,3421,1207,234,,,
45722,Alabama,AL,5700,MARSHALL COUNTY SCHOOL DISTRICT,2013,55128,8520,34179,12429,53182,27095,19957,5317,261,,,
45723,Alabama,AL,2215,BOAZ CITY SCHOOL DISTRICT,2013,21407,2263,12473,6671,21958,10758,6940,2116,1083,,,
45724,Alabama,AL,4422,ALBERTVILLE CITY SCHOOL DISTRICT,2013,38214,5043,22710,10461,38123,20625,12488,3521,1006,,,
45725,Alabama,AL,2543,ARAB CITY SCHOOL DISTRICT,2013,22299,1517,13716,7066,21799,13492,6351,1743,158,,,
45726,Alabama,AL,1974,GUNTERSVILLE CITY SCHOOL DISTRICT,2013,17996,1640,9899,6457,18676,10016,5966,1956,598,,,
45727,Alabama,AL,58625,MOBILE COUNTY SCHOOL DISTRICT,2013,552138,78340,299116,174682,589569,274282,213636,39687,47397,,,
45728,Alabama,AL,2526,SARALAND CITY SCHOOLS,2013,22641,1824,11146,9671,33787,9986,7177,1517,12701,,,
45729,Alabama,AL,864,CHICKASAW CITY SCHOOLS,2013,7110,1101,4100,1909,6361,3443,2298,576,15,,,
45730,Alabama,AL,1463,SATSUMA CITY SCHOOL DISTRICT,2013,54907,1049,6950,46908,53982,6258,4124,767,42818,,,
45731,Alabama,AL,3728,MONROE COUNTY SCHOOL DISTRICT,2013,35449,5370,21739,8340,34018,19215,10887,2909,887,,,
45732,Alabama,AL,31359,MONTGOMERY COUNTY SCHOOL DISTRICT,2013,283295,42257,159134,81904,294254,147751,93780,24980,25419,,,
45733,Alabama,AL,8418,DECATUR CITY SCHOOL DISTRICT,2013,92300,8682,43197,40421,91988,54130,26966,6471,3133,,,
45734,Alabama,AL,7757,MORGAN COUNTY SCHOOL DISTRICT,2013,76248,6380,39285,30583,74265,37574,23858,6349,4177,,,
45735,Alabama,AL,3119,HARTSELLE CITY SCHOOL DISTRICT,2013,41096,1679,17883,21534,42762,16608,9100,1978,12986,,,
45736,Alabama,AL,1739,PERRY COUNTY SCHOOL DISTRICT,2013,17250,3789,10757,2704,17261,8650,5967,2042,312,,,
45737,Alabama,AL,2733,PICKENS COUNTY SCHOOL DISTRICT,2013,25557,3755,17008,4794,26018,14266,8640,2239,788,,,
45738,Alabama,AL,2272,PIKE COUNTY SCHOOL DISTRICT,2013,22462,3775,12873,5814,25574,11365,8566,1864,3565,,,
45739,Alabama,AL,2138,TROY CITY SCHOOL DISTRICT,2013,18509,2333,10158,6018,25601,11835,6026,1596,5028,,,
45740,Alabama,AL,2252,RANDOLPH COUNTY SCHOOL DISTRICT,2013,20504,2756,12538,5210,22633,11390,7111,1781,2220,,,
45741,Alabama,AL,1534,ROANOKE CITY SCHOOL DISTRICT,2013,12683,1544,8268,2871,12351,7395,3560,1167,85,,,
45742,Alabama,AL,6819,PHENIX CITY SCHOOL DISTRICT,2013,61787,8784,36678,16325,60061,32789,18383,5588,1587,,,
45743,Alabama,AL,3555,RUSSELL COUNTY SCHOOL DISTRICT,2013,31182,3973,19537,7672,29338,15577,9683,2934,140,,,
45744,Alabama,AL,8889,ST CLAIR COUNTY SCHOOL DISTRICT,2013,72987,7447,47203,18337,73513,41957,20449,6960,2521,,,
45745,Alabama,AL,4091,PELL CITY SCHOOL DISTRICT,2013,37345,4079,22724,10542,35970,19874,10687,2736,1718,,,
45746,Alabama,AL,28655,SHELBY COUNTY SCHOOL DISTRICT,2013,273821,16296,141875,115650,296889,139978,82154,20667,44163,,,
45747,Alabama,AL,1879,SUMTER COUNTY SCHOOL DISTRICT,2013,19869,3606,11640,4623,19422,9273,7434,1849,108,,,
45748,Alabama,AL,2391,SYLACAUGA CITY SCHOOL DISTRICT,2013,21311,2269,12885,6157,25134,12716,6782,1787,3753,,,
